model,stage1,stage2,stage3,stage4
UNet,0.3344154188039805,0.3477471276779728,0.28308170754753675,0.17952815581901235
Swin,0.38023596213878735,0.35254027016332523,0.3441903906213184,0.3269789117788999
Mamba,0.44008921549913854,0.35506993448474194,0.1406348008998816,0.1196405923794522
