model,shift,mean_iou
UNet,1,0.9843441214060737
UNet,2,0.9772785872737796
UNet,3,0.9730364146834394
UNet,4,0.9730209765636393
UNet,5,0.9701633085003248
Swin,1,0.9620953258234641
Swin,2,0.9520360056834873
Swin,3,0.9486784345267595
Swin,4,0.9483183939045794
Swin,5,0.9391727790896833
Mamba,1,0.9719163028950406
Mamba,2,0.9615745570847983
Mamba,3,0.9591860747887162
Mamba,4,0.9623552039409189
Mamba,5,0.9552146044769728
