model,resolution_level,resolution,low_band_ratio,mid_band_ratio,high_band_ratio,low_std,mid_std,high_std
UNet,1,64x64,0.39425327855924547,0.4795784224643725,0.1261682966221974,0.09450438498826316,0.0735385886006908,0.0222868588664797
UNet,2,32x32,0.35585665519928356,0.5064542268652656,0.13768911277152834,0.07733855134928361,0.055647694113502774,0.02437571962481141
UNet,3,16x16,0.4295711555406899,0.46536763507396767,0.10506120915578263,0.055793026027709865,0.036011125586640255,0.021842322969593705
UNet,4,8x8,0.5478636688575766,0.40137269494513206,0.05076363507369668,0.04966675713899333,0.043007227682565326,0.009448919972427701
Swin,1,64x64,0.5582950750936982,0.28287159842790716,0.15883333529308197,0.17121416777511136,0.10727905152312656,0.06539599564259742
Swin,2,32x32,0.3913392682400732,0.4143292533687373,0.19433147661514683,0.10964714972817875,0.06661996119074168,0.04623647624913072
Swin,3,16x16,0.4399202057092941,0.4659901866879927,0.09408961022054867,0.10119510532941253,0.07562884112983619,0.030332833980416227
Swin,4,8x8,2.6736835411754368e-14,0.8909496581238592,0.10905034202838491,2.8155776431007737e-14,0.04503187241876103,0.04503186855070073
Mamba,1,64x64,0.3215388902676196,0.45087821339980305,0.22758288926327083,0.08833938427128395,0.05536242306155105,0.03696930648065864
Mamba,2,32x32,0.37189416705005945,0.459958349686175,0.1681474826997288,0.07924674193852939,0.05232599406218016,0.030088949286185204
Mamba,3,16x16,0.7100387990389672,0.24217488900036327,0.04778631250305127,0.09480498557973645,0.07394609564067062,0.02211502506265597
Mamba,4,8x8,0.6935217904152213,0.2735063738024697,0.03297183025449559,0.11637545755425281,0.10381198403807101,0.01573356477182083
