model,pearson_r,p_value
UNet,-0.1686995234285407,0.00011260763597589985
Swin,0.05867659124693824,0.1819837198956626
Mamba,0.10946853575832281,0.012583103627747345
Pooled,0.041431912452522736,0.1022076453046787
Partial,0.4184037008432691,5.021268520451289e-67
