model,resolution_level,resolution,low_band_ratio,mid_band_ratio,high_band_ratio,low_std,mid_std,high_std
UNet,1,64x64,0.37841943630908637,0.4919098978744595,0.12967066146728234,0.07975372008716712,0.06450223746558673,0.01708250936773461
UNet,2,32x32,0.34139578670396636,0.5157214810071886,0.14288272903984825,0.06520371570788731,0.04739358638514261,0.022191862293799523
UNet,3,16x16,0.4113794332215893,0.47759752512066783,0.11102304354815702,0.04729457192982836,0.030642281748142097,0.018238942036333968
UNet,4,8x8,0.5487866081972865,0.39985711520405,0.05135627530831537,0.048607593399806824,0.040691066495067034,0.01000934356973581
Swin,1,64x64,0.5179914876719955,0.3088791036542806,0.17312940298609447,0.15552261086124805,0.0958504956895183,0.06209475122522597
Swin,2,32x32,0.3743892015096451,0.4246346213613279,0.2009761812493651,0.09671952139466608,0.056904646154454265,0.04272307009323162
Swin,3,16x16,0.40405793252447353,0.49430512861282166,0.10163694663458585,0.0796561517655454,0.05867205852630807,0.028747714928429417
Swin,4,8x8,2.7270996595057456e-14,0.8853427523728041,0.1146572471027019,2.46512677220333e-14,0.041703220996901026,0.04170320950643712
Mamba,1,64x64,0.32543150266554344,0.45669910485734233,0.21786939772340383,0.08005728867300928,0.054013517155933964,0.03223760403500648
Mamba,2,32x32,0.3402224573281526,0.4770756548928222,0.18270189470954265,0.06480686658531486,0.0440720583304094,0.024047395638005554
Mamba,3,16x16,0.6743362462714871,0.2672509733482444,0.058412783072177656,0.0859952161246167,0.06568659352098524,0.022234522226336345
Mamba,4,8x8,0.6478315490555885,0.3150917081457395,0.03707672543075616,0.12358156189733989,0.11186979725965852,0.01500933222566154
