model,stage,resolution,mean_avr
UNet,1,64x64,0.061242459974840055
UNet,2,32x32,0.18850020274361692
UNet,3,16x16,0.20192893815273172
UNet,4,8x8,0.13113621870399636
Swin,1,28x28,0.16474281223191475
Swin,2,14x14,0.18190212698512487
Swin,3,7x7,0.14368963372909016
Swin,4,7x7,0.055905088061695266
Mamba,1,32x32,0.24297621959523782
Mamba,2,16x16,0.23772337551416603
Mamba,3,8x8,0.037815389701086714
Mamba,4,8x8,0.033746488879454695
