model,stage1,stage2,stage3,stage4
UNet,0.3418974710241756,0.35870301605916893,0.2960167708242891,0.1804121245613602
Swin,0.39845600590664615,0.3677984680304946,0.3652527077908107,0.36457085588163385
Mamba,0.45388112703528405,0.3647984135972976,0.1595789362939762,0.13073030761943488
