model,shift,mean_iou
UNet,1,0.9864429724216461
UNet,2,0.9759430181980133
UNet,3,0.9678182232379914
UNet,4,0.970846940279007
UNet,5,0.9693255293369293
Swin,1,0.9670428478717804
Swin,2,0.9530703663825989
Swin,3,0.9484460461139679
Swin,4,0.9503997886180877
Swin,5,0.9196236199140548
Mamba,1,0.9752964365482331
Mamba,2,0.9617096710205079
Mamba,3,0.9548699426651001
Mamba,4,0.9582089269161225
Mamba,5,0.9535610973834991
