model,pearson_r,p_value
UNet,-0.22183034210469313,0.12155871734710205
Swin,-0.4976729391019624,0.00023575695939438143
Mamba,-0.3380834438146535,0.016335818337569794
Pooled,-0.4243293019966955,6.253291630025123e-08
Partial,-0.3947449832362776,5.772042257370755e-07
